회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
엔에이치스팩28호,450410,2023-03-09,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","6,800,000",기타 금융 지원 서비스업,"3,920,000"
자람테크놀로지,389020,2023-03-07,신규상장,주권,반도체 제조업,대한민국,신영증권(주),500,"22,000","20,460,000","XGSPON, 기가와이어, 광트랜시버 등","6,197,730"
하나26호스팩,446750,2023-03-07,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","11,000,000",기업인수합병,"6,030,000"
나노팀,417010,2023-03-03,신규상장,주권,일반 목적용 기계 제조업,대한민국,한국투자증권(주),500,"13,000","26,650,000",전기차용 방열제품,"19,154,328"
바이오인프라,199730,2023-03-02,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,DB금융투자주식회사,500,"21,000","13,650,000","생동성시험, 검체 분석","4,796,867"
삼성스팩8호,448740,2023-03-02,신규상장,주권,금융 지원 서비스업,대한민국,삼성증권(주),500,"10,000","40,000,000",기업인수합병,"4,664,000"
유안타제13호스팩,449020,2023-02-28,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","17,000,000",금융 지원 서비스,"9,730,000"
미래에셋비전스팩2호,446190,2023-02-24,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","9,300,000",기업인수합병,"4,950,000"
제이오,418550,2023-02-16,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",대한민국,한국투자증권(주),100,"13,000","52,000,000","탄소나노튜브, 금속탱크 및 유사용기","31,336,273"
샌즈랩,411080,2023-02-15,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,키움증권(주),100,"10,500","38,850,000",사이버 위협 인텔리전스(CTI),"15,095,238"
꿈비,407400,2023-02-09,신규상장,주권,가구 제조업,대한민국,키움증권(주),100,"5,000","10,000,000","놀이방매트, 유아거실가구 등","7,938,930"
스튜디오미르,408900,2023-02-07,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,미래에셋증권 주식회사,100,"19,500","19,500,000",애니메이션 제작,"5,150,550"
삼기이브이,419050,2023-02-03,신규상장,주권,자동차 신품 부품 제조업,대한민국,대신증권(주),100,"11,000","39,072,407",배터리(이차전지) 부품 (엔드플레이트),"14,299,060"
오브젠,417860,2023-01-30,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"18,000","13,967,208",CRM 소프트웨어,"3,879,775"
